base_price,kms_driven,age,power,brand,stroke,milage,length,weight,acceleration,rent
35000,17654,3,110,0,2.68,18,307,3504,12,1750
11990,11000,4,350,1,2.68,15,350,3693,11.5,599.5
600000,110,8,675,2,3.47,18,318,3436,11,30000
65000,16329,4,180,0,3.4,16,304,3433,12,3250
80000,10000,3,150,3,3.4,17,302,3449,10.5,4000
53499,25000,6,150,3,3.4,15,429,4341,10,2674.95
85000,8200,3,160,4,3.4,14,454,4354,9,4250
45000,12645,3,100,5,3.4,14,440,4312,8.5,2250
145000,9190,3,350,1,3.4,14,455,4425,10,7250
88000,19000,7,500,1,2.8,15,390,3850,8.5,4400
72000,20000,7,150,3,2.8,15,383,3563,10,3600
95000,9665,4,250,3,3.19,14,340,3609,8,4750
78000,9900,4,200,6,3.19,15,400,3761,9.5,3900
29499,20000,8,100,6,3.19,14,455,3086,10,1474.95
29900,20000,7,125,6,3.39,24,113,2372,15,1495
90000,11574,3,200,6,3.39,22,198,2833,15.5,4500
120000,23000,3,200,6,3.39,18,199,2774,15.5,6000
48000,24725,5,150,7,3.03,21,200,2587,16,2400
240000,15025,3,302,8,3.11,27,97,2130,14.5,12000
29900,20000,7,125,6,3.11,26,97,1835,20.5,1495
120000,23000,3,200,6,3.23,25,110,2672,17.5,6000
48000,24725,5,150,7,3.23,24,107,2430,14.5,2400
46500,3500,2,110,5,3.39,25,104,2375,17.5,2325
121700,24520,5,500,1,3.23,26,121,2234,12.5,6085
45000,23000,6,150,3,3.23,21,199,2648,15,2250
78000,9900,4,200,6,3.23,10,360,4615,14,3900
20000,29305,16,125,5,3.39,10,307,4376,15,1000
20800,30500,7,125,4,3.46,11,318,4382,13.5,1040
50000,19000,8,150,6,3.9,9,304,4732,18.5,2500
81200,9100,2,160,4,3.41,27,97,2130,14.5,4060
88000,21914,3,200,6,3.41,28,140,2264,15.5,4400
80000,20000,4,150,3,3.07,25,113,2228,14,4000
40900,15000,6,220,6,3.41,25,98,2046,19,2045
180000,17700,4,390,9,3.41,19,232,2634,13,9000
40000,30000,8,150,4,3.41,16,225,3439,15.5,2000
70000,100000,8,200,9,3.41,17,250,3329,15.5,3500
98800,39000,5,350,1,3.58,19,250,3302,15.5,4940
65000,43000,6,150,4,3.58,18,232,3288,15.5,3250
190500,4550,2,500,1,3.58,14,350,4209,12,9525
179000,3400,2,200,9,3.58,14,400,4464,11.5,8950
70000,45000,8,350,1,3.58,14,351,4154,13.5,3500
45000,36100,6,220,6,3.58,14,318,4096,13,2250
78000,8500,13,350,1,3.23,12,383,4955,11.5,3900
110000,2550,2,220,6,3.23,13,400,4746,12,5500
85000,18000,6,350,1,4.17,13,400,5140,12,4250
38000,35000,9,200,6,4.17,18,258,2962,13.5,1900
55346,38000,10,350,1,2.76,22,140,2408,19,2767.3
28000,45000,2,110,10,3.15,19,250,3282,15,1400
37000,10800,8,150,5,3.15,18,250,3139,14.5,1850
97000,4400,3,150,7,3.15,23,122,2220,14,4850
40000,357000,8,150,3,3.15,28,116,2123,14,2000
90000,15300,7,350,1,3.15,30,79,2074,19.5,4500
60000,30000,5,160,0,3.15,30,88,2065,14.5,3000
21900,30000,7,125,4,3.15,31,71,1773,19,1095
40000,64000,7,220,6,3.89,35,72,1613,18,2000
475000,11500,3,600,8,3.89,27,97,1834,19,23750
34500,17056,5,110,4,3.39,26,91,1955,20.5,1725
25000,172082,9,150,3,3.39,24,113,2278,15.5,1250
30200,45000,7,150,7,3.39,25,97.5,2126,17,1510
65000,35000,5,220,6,3.39,23,97,2254,23.5,3250
25000,38000,9,150,6,3.39,20,140,2408,19.5,1250
935000,2500,2,900,11,3.39,21,122,2226,16.5,46750
107100,15438,3,350,1,3.16,13,350,4274,12,5355
80000,6000,3,220,6,3.64,14,400,4385,12,4000
88000,19000,5,350,1,3.64,15,318,4135,13.5,4400
94700,32700,4,200,9,3.64,14,351,4129,13,4735
12200,46643,14,100,5,3.64,17,304,3672,11.5,610
106000,19000,6,350,1,3.64,11,429,4633,11,5300
29500,40700,12,220,6,3.1,13,350,4502,13.5,1475
290000,11350,7,650,11,3.1,12,350,4456,13.5,14500
110000,1600,6,350,1,3.35,13,400,4422,12.5,5500
27000,44410,10,125,6,3.35,19,70,2330,13.5,1350
65000,9800,11,350,1,3.12,15,304,3892,12.5,3250
150000,15000,3,350,1,3.23,13,307,4098,14,7500
55786,68000,7,223,5,3.23,13,302,4294,16,2789.3
45000,17757,8,180,6,3.23,14,318,4077,14,2250
146000,3900,2,250,3,3.39,18,121,2933,14.5,7300
115000,23700,4,350,1,3.46,22,121,2511,18,5750
30000,8250,3,100,6,3.46,21,120,2979,19.5,1500
93100,10000,5,200,6,3.86,26,96,2189,18,4655
82000,4300,3,150,3,3.86,22,122,2395,16,4100
260000,3800,2,650,1,3.86,28,97,2288,17,13000
38000,33000,7,125,4,3.46,23,120,2506,14.5,1900
130000,17500,4,250,9,3.46,28,98,2164,15,6500
118000,19000,4,410,1,3.46,27,97,2100,16.5,5900
14700,10000,11,135,6,3.46,13,350,4100,13,735
85000,54000,6,350,1,3.29,14,304,3672,11.5,4250
40000,27000,7,220,6,3.47,13,350,3988,13,2000
50000,19000,6,150,3,3.29,14,302,4042,14.5,2500
71800,43500,7,350,1,3.29,15,318,3777,12.5,3590
71800,43500,7,350,1,3.29,12,429,4952,11.5,3590
75000,11575,4,200,6,3.29,13,400,4464,12,3750
1350000,190,1,1100,12,3.29,13,351,4363,13,67500
790000,19000,3,765,2,3.29,14,318,4237,14.5,39500
47000,8600,4,150,6,3.29,13,440,4735,11,2350
60000,2000,2,150,6,3.29,12,455,4951,11,3000
96700,5100,1,150,7,3.47,13,360,3821,11,4835
31900,9000,5,100,5,3.47,18,225,3121,16.5,1595
35000,44480,13,150,6,3.27,16,250,3278,18,1750
240000,11000,3,390,9,3.27,18,232,2945,16,12000
68000,16000,7,250,4,3.27,18,250,3021,16.5,3400
80000,26691,5,200,6,3.27,23,198,2904,16,4000
135000,45000,5,350,1,3.27,26,97,1950,21,6750
11100,12000,12,150,6,3.27,11,400,4997,14,555
480000,14200,4,600,8,3.19,12,400,4906,12.5,24000
65000,41000,3,150,7,3.52,13,360,4654,13,3250
60000,15000,5,150,3,3.19,12,350,4499,12.5,3000
80000,12314,4,150,4,3.52,18,232,2789,15,4000
46000,11760,3,100,5,2.19,20,97,2279,19,2300
95000,22000,11,500,1,3.52,21,140,2401,19.5,4750
400000,1800,4,650,13,2.19,22,108,2379,16.5,20000
55000,4400,4,150,6,3.52,18,70,2124,13.5,2750
63000,16000,5,150,3,3.19,19,122,2310,18.5,3150
51000,9000,4,150,6,3.52,21,155,2472,14,2550
69900,8700,3,160,0,3.21,26,98,2265,15.5,3495
125000,1342,4,200,6,3.23,15,350,4082,13,6250
210000,21000,6,300,8,3.39,16,400,4278,9.5,10500
35900,19000,5,125,4,3.23,29,68,1867,19.5,1795
67000,13000,9,250,4,3.23,24,116,2158,15.5,3350
29339,12771,4,100,5,3.23,20,114,2582,14,1466.95
19695,51576,6,100,5,3.46,19,121,2868,15.5,984.75
48672,608,2,110,5,3.86,15,318,3399,11,2433.6
40000,13680,9,150,4,3.11,24,121,2660,14,2000
500000,285,5,600,3,2.9,20,156,2807,13.5,25000
800000,3,3,1299,12,2.9,11,350,3664,11,40000
110000,24676,5,410,1,2.9,20,198,3102,16.5,5500
92500,11000,6,350,1,3.9,21,200,2875,17,4625
57000,28948,5,200,6,3.9,19,232,2901,16,2850
